url,rank,score,raw_score,grade,grade_reliable,coverage_note,total_findings,critical,high,medium,low,info,tests_run,modules_discovered,waf,page_is_representative,duration_seconds,findings_by_scout,ocsp_stapling
https://olx.pl,1120,41,41.0,F,True,,26,0,2,4,10,10,10,10,AWS CloudFront,True,13.56,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 11, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 1, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://desiviral.net,1684,16,16.0,F,True,,42,0,4,4,12,22,10,10,,True,4.99,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 13, ""test_06_info_disclosure"": 17, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 2}",false
https://marketwatch.com,1840,96,96.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,5,0,0,0,2,3,2,10,AWS CloudFront,False,4.22,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 1}",false
https://business.site,1968,23,23.0,F,True,,38,0,3,13,13,9,10,10,,True,6.12,"{""test_01_secrets"": 2, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 6, ""test_05_security_headers"": 9, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 16, ""test_10_hallucinated_deps"": 1}",false
https://pnas.org,1977,93,93.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,0,1,1,4,2,10,Cloudflare,False,3.44,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 2}",false
https://applvn.com,2430,70,70.0,C,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 1/10 scan modules completed.,3,0,2,0,0,1,1,10,,False,1.11,"{""test_07_email_security"": 3}",
https://ntp.br,2487,0,-24.0,F,True,,37,0,4,10,12,11,10,10,,True,9.65,"{""test_02_frontend_libs"": 7, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 15, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://peacocktv.com,2565,45,45.0,F,True,,48,0,2,3,12,31,10,10,,True,12.1,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 22, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://zeit.de,2580,20,20.0,F,True,,62,0,3,6,46,7,10,10,,True,6.15,"{""test_01_secrets"": 1, ""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 13, ""test_06_info_disclosure"": 1, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 37, ""test_10_hallucinated_deps"": 1}",false
https://rumble.com,2635,98,98.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,5,0,0,0,1,4,2,10,Cloudflare,False,3.96,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 1}",false
https://hindustantimes.com,2673,34,34.0,F,True,,33,0,1,9,14,9,10,10,,True,10.9,"{""test_01_secrets"": 1, ""test_03_cookies"": 6, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 13, ""test_06_info_disclosure"": 2, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 2, ""test_10_hallucinated_deps"": 1}",false
https://nsw.gov.au,2703,63,63.0,D,True,,28,0,1,3,16,8,10,10,AWS CloudFront,True,18.15,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 12, ""test_06_info_disclosure"": 2, ""test_07_email_security"": 1, ""test_08_cors"": 1, ""test_09_sri"": 5, ""test_10_hallucinated_deps"": 1}",false
https://buzzoola.com,2980,0,-44.0,F,True,,30,3,1,5,14,7,10,10,,True,7.52,"{""test_02_frontend_libs"": 3, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 15, ""test_06_info_disclosure"": 2, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://vkuseraudio.net,3520,96,96.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,5,0,0,0,2,3,2,10,,False,6.87,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 1}",false
